lines_out,no_load_shed_time,initial_load_shed,full_rest_time
1.0,1.0,0.0,5.4e-323
1.0,1.0,9.094947017729282e-13,6.0e-323
1.0,168.0,138.3980628304771,6.4e-323
1.0,1.0,0.0,7.0e-323
1.0,1.0,0.0,7.4e-323
1.0,26.0,138.99220289028108,8.0e-323
1.0,1.0,73.40305719644857,8.4e-323
1.0,1.0,0.0,9.0e-323
1.0,1.0,0.0,9.4e-323
1.0,1.0,0.0,1.0e-322
1.0,1.0,0.0,1.04e-322
1.0,60.0,0.0,1.1e-322
1.0,1.0,0.0,1.14e-322
1.0,1.0,9.094947017729282e-13,1.2e-322
1.0,1.0,642.6926828687956,1.24e-322
1.0,97.0,2524.518499999999,1.3e-322
1.0,60.0,463.4849569355074,1.33e-322
1.0,2.0,276.44855854647085,1.4e-322
1.0,181.0,630.9281816814455,1.43e-322
1.0,1.0,0.0,1.5e-322
1.0,1.0,396.9854650663292,1.53e-322
1.0,1.0,138.0,1.6e-322
1.0,1.0,301.51850000000013,1.63e-322
1.0,60.0,0.0,1.7e-322
1.0,60.0,0.0,1.73e-322
1.0,200.0,596.3798582848103,1.8e-322
1.0,1.0,0.0,1.83e-322
1.0,60.0,13.183738761152199,1.9e-322
1.0,1.0,0.0,1.93e-322
1.0,1.0,0.0,2.0e-322
1.0,60.0,563.1049377144773,2.03e-322
1.0,60.0,0.0,2.08e-322
1.0,1.0,0.0,2.1e-322
1.0,1.0,0.0,2.17e-322
1.0,1.0,9.094947017729282e-13,2.2e-322
1.0,1.0,0.0,2.27e-322
1.0,1.0,0.0,2.3e-322
1.0,1.0,0.0,2.37e-322
1.0,1320.0,2912.518500000002,2.4e-322
1.0,1.0,0.0,2.47e-322
1.0,1.0,0.0,2.5e-322
1.0,1.0,0.0,2.57e-322
1.0,1440.0,73.3676698690715,2.6e-322
1.0,1.0,0.0,2.67e-322
1.0,1.0,0.0,2.7e-322
1.0,60.0,0.0,2.77e-322
1.0,60.0,0.0,2.8e-322
1.0,546.0,516.0817451111398,2.87e-322
1.0,1.0,0.0,2.9e-322
1.0,141.0,63.82064476919368,2.96e-322
1.0,240.0,1439.5184999999992,3.0e-322
1.0,14.0,454.82719974972224,3.06e-322
1.0,1.0,0.0,3.1e-322
1.0,91.0,479.00411999138305,3.16e-322
1.0,1.0,0.0,3.2e-322
1.0,1.0,0.0,3.26e-322
1.0,1.0,0.0,3.3e-322
1.0,289.0,1872.5185000000056,3.36e-322
1.0,60.0,0.0,3.4e-322
1.0,1.0,0.0,3.46e-322
1.0,12.0,371.612756124272,3.5e-322
1.0,1.0,0.0,3.56e-322
1.0,1.0,0.0,3.6e-322
1.0,60.0,994.087932058891,3.66e-322
1.0,60.0,412.9993670639524,3.7e-322
1.0,2.0,371.2518197186009,3.75e-322
1.0,1.0,0.0,3.8e-322
1.0,60.0,0.0,3.85e-322
1.0,537.0,1453.4952087186248,3.9e-322
1.0,60.0,0.0,3.95e-322
1.0,60.0,0.0,4.0e-322
1.0,1.0,0.0,4.05e-322
1.0,120.0,1427.5184999999992,4.1e-322
1.0,1.0,0.0,4.15e-322
1.0,1.0,0.0,4.2e-322
1.0,1.0,95.61210847743769,4.25e-322
1.0,1.0,0.0,4.3e-322
1.0,1.0,0.0,4.35e-322
1.0,1.0,0.0,4.4e-322
1.0,60.0,298.3580211374101,4.45e-322
1.0,1.0,0.0,4.5e-322
1.0,1.0,0.0,4.55e-322
1.0,10.0,1567.5485000000162,4.6e-322
1.0,60.0,0.0,4.64e-322
1.0,1.0,0.0,4.7e-322
1.0,1.0,0.0,4.74e-322
1.0,1.0,0.0,4.8e-322
1.0,515.0,73.3676698690715,4.84e-322
1.0,1.0,0.0,4.9e-322
1.0,1.0,0.0,4.94e-322
