lines_out,no_load_shed_time,initial_load_shed,full_rest_time
1.0,1.0,0.0,3.26899254e-315
1.0,1.0,9.094947017729282e-13,3.16167662e-315
1.0,168.0,241.46126808766985,1.0e-323
1.0,1.0,0.0,0.0
1.0,1.0,0.0,1.0609978955e-314
1.0,26.0,241.97446520422454,3.16182721e-315
1.0,1.0,193.2236925756215,0.0
1.0,1.0,186.60467299606898,0.0
1.0,59.0,64.95892018690301,8.4e-323
1.0,5.0,186.6046729960699,3.269055226e-315
1.0,1.0,0.0,3.26905507e-315
1.0,60.0,0.0,1.0e-323
1.0,1.0,134.2116671246922,0.0
1.0,1.0,9.094947017729282e-13,3.26899254e-315
1.0,2.0,814.8101510333863,3.16167662e-315
1.0,97.0,2837.229999999994,1.0e-323
1.0,3240.0,704.5542321508001,0.0
1.0,2.0,703.0201794543073,1.021065092305e-312
1.0,181.0,813.3960922151164,3.16167662e-315
1.0,4.0,122.27153834231467,1.0e-323
1.0,42.0,636.7743402400338,0.0
1.0,1.0,172.0,9.0110997e-316
1.0,1.0,614.2300000000014,3.16182721e-315
1.0,60.0,64.95892018690392,4.243991582e-314
1.0,120.0,124.43684081422089,0.0
1.0,200.0,701.7807480509218,8.4e-323
1.0,1.0,0.0,3.2690559e-315
1.0,540.0,153.24808513866992,3.26905574e-315
1.0,1.0,0.0,1.0e-323
1.0,13.0,162.93303023753106,0.0
1.0,60.0,804.5844944282935,1.813876407e-315
1.0,6480.0,179.372569062818,3.16167662e-315
1.0,1.0,0.0,1.0e-323
1.0,126.0,187.06470768077634,0.0
1.0,1.0,9.094947017729282e-13,0.0
1.0,1.0,0.0,3.16167733e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,186.60467299606898,0.0
1.0,1320.0,3225.23,3.26899254e-315
1.0,1.0,0.0,3.16167733e-315
1.0,1.0,174.68220368783477,1.0e-323
1.0,1.0,0.0,0.0
1.0,1440.0,193.2236925756215,9.3549202443e-313
1.0,1.0,0.0,3.16182721e-315
1.0,1.0,0.0,0.0
1.0,60.0,72.73000000000138,0.0
1.0,60.0,0.0,8.4e-323
1.0,546.0,747.0519850283126,3.26905673e-315
1.0,1.0,0.0,3.26905657e-315
1.0,141.0,227.7385457117398,1.0e-323
1.0,240.0,1752.2299999999996,0.0
1.0,32.0,693.5743960257478,4.593297163e-315
1.0,1.0,0.0,3.16167733e-315
1.0,91.0,720.7915885238817,1.0e-323
1.0,1.0,0.0,0.0
1.0,1.0,110.10659129938085,0.0
1.0,1.0,0.0,3.16167804e-315
1.0,289.0,2185.23,9.54898105944e-313
1.0,60.0,110.86125371250728,0.0
1.0,227.0,188.2221190683922,0.0
1.0,12.0,566.0799871230465,3.16167804e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,0.0
1.0,120.0,1250.303030719323,3.26899254e-315
1.0,60.0,677.2299999999987,3.16167804e-315
1.0,2.0,610.3072839869983,1.0e-323
1.0,1.0,0.0,0.0
1.0,60.0,0.0,3.26899254e-315
1.0,537.0,1722.2909890109886,3.16167804e-315
1.0,60.0,0.0,1.0e-323
1.0,60.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,120.0,1740.2300000000005,3.16167804e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,0.0
1.0,1.0,294.0158113608486,7.64819594715e-313
1.0,1.0,188.2221190683922,3.16182389e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,0.0
1.0,6780.0,533.0616799370036,0.0
1.0,1.0,0.0,3.1618246e-315
1.0,1.0,0.0,1.0e-323
1.0,10.0,1728.729999999995,0.0
1.0,60.0,129.82299724499626,3.26899254e-315
1.0,1.0,9.094947017729282e-13,3.161825313e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,0.0
1.0,515.0,193.2236925756215,9.0175755e-316
1.0,1.0,0.0,3.161825313e-315
1.0,1.0,0.0,2.121995792e-314
1.0,60.0,0.0,0.0
1.0,1.0,0.0,4.593620954e-315
1.0,1.0,24.659859464750298,3.16182721e-315
1.0,1.0,186.04527095438698,5.3049894775e-313
1.0,1.0,9.094947017729282e-13,0.0
1.0,5.0,241.97446520422454,0.0
1.0,280.0,0.0,3.16182958e-315
1.0,3.0,64.95892018690392,1.0e-323
1.0,1.0,193.2236925756215,0.0
1.0,1.0,0.0,3.26899254e-315
1.0,120.0,2836.730000000008,3.161830294e-315
1.0,1.0,0.0,1.0e-323
1.0,632.0,150.13183883452803,0.0
1.0,3.0,95.94932450359374,3.26899254e-315
1.0,1.0,0.0,3.16183322e-315
1.0,1.0,189.03214297972136,1.0e-323
1.0,56.0,1381.446161873234,0.0
1.0,1.0,0.0,8.487983164e-314
1.0,1.0,652.2300000000014,3.1618348e-315
1.0,840.0,122.27153834231467,1.0e-323
1.0,1.0,0.0,0.0
1.0,79.0,7.646302031492269,0.0
1.0,10.0,286.66610452229725,2.50354189e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,0.0
1.0,1560.0,3520.230000000003,0.0
1.0,1.0,0.0,3.16183622e-315
1.0,5.0,652.2300000000005,1.0e-323
1.0,1.0,610.3072839869983,0.0
1.0,60.0,0.0,1.813876407e-315
1.0,60.0,0.0,3.16183622e-315
1.0,1260.0,746.4318171527893,9.54898105944e-313
1.0,120.0,40.606915640128136,0.0
1.0,1.0,232.80022220152568,0.0
1.0,403.0,980.2300000000023,3.16183622e-315
1.0,60.0,712.2300000000014,1.0e-323
1.0,1.0,0.0,0.0
1.0,1.0,0.0,3.26899254e-315
1.0,1260.0,1032.2300000000005,3.1618416e-315
1.0,54.0,239.2845362203925,1.0e-323
1.0,26.0,855.9311108282191,0.0
1.0,1.0,0.0,1.02037185607e-312
1.0,60.0,166.73063629807802,3.1618416e-315
1.0,1.0,608.1000000000004,1.0e-323
1.0,60.0,0.0,0.0
1.0,1.0,0.0,4.593297163e-315
1.0,1.0,0.0,3.161849424e-315
1.0,1.0,150.13183883452803,0.0
1.0,2760.0,62.93267394126906,0.0
1.0,44.0,188.22211906839038,8.4e-323
1.0,32.0,757.5628877417994,3.269060404e-315
1.0,2340.0,77.51852524544483,3.269060246e-315
1.0,1.0,0.0,1.0e-323
1.0,19.0,700.9450154812266,0.0
1.0,246.0,1346.6541026712157,0.0
1.0,1.0,491.2300000000032,3.1618416e-315
1.0,60.0,1377.11999218873,1.0822178534e-312
1.0,1.0,0.0,0.0
1.0,17.0,7.639468039848907,3.26899254e-315
1.0,1.0,0.0,3.1618416e-315
1.0,149.0,186.04527095438698,1.0e-323
1.0,83.0,481.03202486040755,0.0
1.0,1.0,0.0,3.26899254e-315
1.0,60.0,205.9801686337696,3.161849424e-315
1.0,7020.0,1377.11999218873,0.0
1.0,1.0,0.0,0.0
1.0,14880.0,608.1000000000004,5.30498947825e-313
1.0,1.0,0.0,3.269061076e-315
1.0,1.0,0.0,3.26906092e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,0.0
1.0,1260.0,2264.2300000000005,9.3549202443e-313
1.0,893.0,552.9203431363085,3.1618416e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,7.646302031492269,0.0
1.0,60.0,693.4062853389232,4.593297163e-315
1.0,2.0,186.60467299606898,3.1618416e-315
1.0,1.0,0.0,1.0e-323
1.0,60.0,296.5044514492629,0.0
1.0,4440.0,3073.229999999993,3.26899254e-315
1.0,1.0,0.0,3.161849424e-315
1.0,74.0,771.7724531065614,8.27578358476e-313
1.0,12.0,122.07733280000684,0.0
1.0,1.0,0.0,8.4e-323
1.0,120.0,30.100000000000364,3.26906175e-315
1.0,40.0,162.93303023753106,3.26906159e-315
1.0,60.0,0.0,5.3049894775e-313
1.0,1.0,0.0,0.0
1.0,2160.0,1319.230000000004,3.26899254e-315
1.0,8.0,614.2300000000014,3.1618416e-315
1.0,14040.0,354.63603549726577,1.0e-323
1.0,1.0,64.95892018690392,0.0
1.0,1.0,0.0,3.26899254e-315
1.0,1.0,0.0,3.1618416e-315
1.0,1.0,0.0,1.0e-323
1.0,551.0,1996.229999999996,0.0
1.0,310.0,966.9536228813549,1.03573378971e-312
1.0,28.0,636.7743402400338,3.161844127e-315
1.0,109080.0,628.538767877455,1.0e-323
1.0,1.0,0.0,0.0
1.0,180.0,579.2300000000014,1.7325401426e-314
1.0,1.0,9.094947017729282e-13,3.161844127e-315
1.0,1.0,187.06470768077634,1.0e-323
1.0,883.0,162.93303023753197,0.0
1.0,1.0,547.0476113948862,3.26899254e-315
1.0,1.0,64.95804691154626,3.161844127e-315
1.0,345.0,1298.2299999999977,NaN
1.0,3120.0,1073.1000000000013,0.0
1.0,34.0,1071.2299999999987,NaN
1.0,1.0,150.13183883452893,3.161844127e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,0.0
1.0,3.0,17.461238770420096,2.519740485e-315
1.0,1.0,0.0,3.16184484e-315
1.0,1200.0,864.4792126472057,1.0e-323
1.0,1.0,0.0,0.0
1.0,1.0,0.0,3.26899254e-315
1.0,1.0,0.0,3.16184484e-315
1.0,1.0,0.0,1.0609978956e-313
1.0,60.0,614.2300000000032,0.0
1.0,60.0,0.0,3.26899254e-315
1.0,1.0,0.0,3.16184721e-315
1.0,1.0,0.0,1.0e-323
1.0,935.0,188.22211906839038,0.0
1.0,1.0,0.0,0.0
1.0,1.0,241.97446520422454,3.16184721e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,188.2221190683922,0.0
1.0,1.0,0.0,3.26899254e-315
1.0,1.0,0.0,2.503542286e-315
1.0,1.0,123.86869940272209,1.0e-323
1.0,1.0,652.2300000000014,0.0
1.0,1.0,193.2236925756215,0.0
1.0,389.0,1249.0797281712994,2.50354268e-315
1.0,286.0,547.13566565974,1.0e-323
1.0,3.0,2164.936664667035,0.0
1.0,1.0,193.2236925756215,3.26899254e-315
1.0,1.0,193.2236925756215,2.503543077e-315
1.0,1.0,0.0,1.0e-323
1.0,2040.0,3697.2300000000005,0.0
1.0,1.0,0.0,3.26899254e-315
1.0,1.0,0.0,2.50354347e-315
1.0,24.0,139.53944027679609,1.0609978956e-313
1.0,60.0,0.0,0.0
1.0,60.0,201.78848095400645,4.578078993e-315
1.0,1500.0,64.95892018690301,2.503543867e-315
1.0,183.0,188.2221190683922,1.0e-323
1.0,23.0,680.0516576409809,0.0
1.0,60.0,0.0,3.26899254e-315
1.0,1.0,0.0,3.16185207e-315
1.0,1.0,0.0,1.0609978956e-313
1.0,797.0,134.2116671246922,0.0
1.0,5520.0,805.8708122797416,3.26899254e-315
1.0,1.0,0.0,3.161852783e-315
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,0.0
1.0,1.0,0.0,3.26899254e-315
1.0,2160.0,966.5424392963414,3.161854523e-315
1.0,1.0,0.0,1.0e-323
1.0,309.0,229.71884142528143,0.0
1.0,840.0,5154.2300000000005,0.0
1.0,60.0,241.97446520422454,3.161855234e-315
1.0,8400.0,2809.4469402677323,7.63918484757e-313
1.0,1920.0,1240.3527510694466,0.0
1.0,60.0,0.0,0.0
1.0,72.0,27.77773119522317,2.503544263e-315
1.0,1.0,9.094947017729282e-13,1.0e-323
1.0,60.0,0.0,0.0
1.0,60.0,0.0,1.02205556855e-313
1.0,38.0,787.2694720404661,3.16186215e-315
1.0,3.0,428.93508445604493,1.0e-323
1.0,1.0,9.094947017729282e-13,0.0
1.0,1.0,0.0,3.26899254e-315
1.0,14880.0,1991.2300000000005,2.50354466e-315
1.0,1.0,0.0,1.0e-323
