time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,2,1
70,0,1,2,1
130,0,1,2,1
190,0,1,2,0
250,0,1,1,0
310,0,1,1,0
370,0,1,1,0
430,0,1,1,0
490,0,1,1,0
550,0,1,1,0
610,0,1,1,0
670,0,1,1,0
730,0,1,1,0
790,0,1,1,0
850,0,1,1,0
910,0,1,1,0
970,0,1,1,0
1030,0,1,1,0
1090,0,1,1,0
1150,0,1,1,0
1210,0,1,1,0
1270,0,1,1,0
1330,0,1,1,0
1390,0,1,1,0
1450,0,1,1,0
1510,0,1,1,0
1570,0,1,1,0
1630,0,1,1,0
1690,0,1,1,0
1750,0,1,1,0
1810,0,1,1,0
1870,0,1,1,0
1930,0,1,1,0
1990,0,1,1,0
2050,0,1,0,0
2110,0,1,0,0
