time,load_shed,perc_load_served,lines_out,gens_out
10,0,1,1,1
70,0,1,0,1
130,0,1,0,1
190,0,1,0,1
250,0,1,0,1
310,0,1,0,1
370,0,1,0,1
430,0,1,0,1
490,0,1,0,1
550,0,1,0,1
610,0,1,0,1
670,0,1,0,1
730,0,1,0,1
790,0,1,0,1
850,0,1,0,1
910,0,1,0,1
970,0,1,0,1
1030,0,1,0,1
1090,0,1,0,1
1150,0,1,0,1
1210,0,1,0,1
1270,0,1,0,1
1330,0,1,0,1
1390,0,1,0,1
1450,0,1,0,1
1510,0,1,0,1
1570,0,1,0,1
1630,0,1,0,1
1690,0,1,0,1
1750,0,1,0,1
1810,0,1,0,1
1870,0,1,0,1
1930,0,1,0,1
1990,0,1,0,1
2050,0,1,0,1
2110,0,1,0,1
2170,0,1,0,1
2230,0,1,0,1
2290,0,1,0,1
2350,0,1,0,1
2410,0,1,0,1
2470,0,1,0,1
2530,0,1,0,1
2590,0,1,0,1
2650,0,1,0,1
2710,0,1,0,1
2770,0,1,0,1
2830,0,1,0,0
