lines_out,no_load_shed_time,initial_load_shed,full_rest_time
1.0,60.0,0.0,4.545e-321
1.0,1.0,0.0,1.61895e-319
1.0,1.0,0.0,4.4e-323
1.0,1.0,0.0,1.1047e-320
1.0,1.0,0.0,1.10483e-319
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,1.77188775e-315
1.0,1.0,0.0,6.454e-320
1.0,60.0,0.0,6.4e-323
1.0,1.0,0.0,4.9644e-320
1.0,1.0,0.0,1.05014e-319
1.0,60.0,0.0,4.4e-323
1.0,1.0,0.0,1.1032e-320
1.0,1.0,0.0,1.1978e-319
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,1.77189545e-315
1.0,1.0,0.0,NaN
1.0,1.0,0.0,1.8875e-319
1.0,1.0,0.0,2.70227936e-315
1.0,60.0,0.0,2.19e-321
1.0,60.0,0.0,4.4e-323
1.0,1.0,0.0,3.414e-321
1.0,60.0,0.0,NaN
1.0,1.0,0.0,1.7651849185577e-310
1.0,60.0,0.0,2.243724863e-315
1.0,1.0,0.0,1.1487e-320
1.0,60.0,0.0,1.0e-323
1.0,1.0,0.0,1.77175812e-315
1.0,60.0,0.0,4.649e-320
1.0,1.0,0.0,4.4e-323
1.0,1.0,0.0,4.84e-322
1.0,60.0,0.0,1.42207e-319
1.0,1.0,0.0,1.0e-323
1.0,1.0,0.0,1.77191309e-315
1.0,1.0,0.0,5.579e-320
1.0,1.0,0.0,4.4e-323
1.0,60.0,0.0,4.74e-322
1.0,60.0,0.0,1.67913e-319
1.0,60.0,0.0,4.4e-323
1.0,1.0,0.0,1.087e-320
1.0,1.0,0.0,4.485e-320
1.0,1.0,0.0,6.4e-323
1.0,1.0,0.0,4.016e-320
1.0,1.0,0.0,8.5325e-320
1.0,60.0,0.0,4.4e-323
1.0,1.0,0.0,1.52e-321
1.0,1.0,0.0,1.60804e-319
1.0,15.0,15.0,5.0e-323
1.0,1.0,0.0,0.0
1.0,1.0,0.0,NaN
1.0,60.0,0.0,2.702280706e-315
1.0,1.0,0.0,-3.3066151930111264e16
1.0,1.0,0.0,NaN
1.0,1.0,0.0,2.121995791e-314
1.0,1.0,0.0,NaN
1.0,1.0,0.0,NaN
1.0,1.0,0.0,2.702280825e-315
1.0,1.0,0.0,2.7022813e-315
