time,load_shed,perc_load_served,lines_out,gens_out
10,0.0,1.0,3.0,0.0
70,0.0,1.0,1.0,0.0
130,0.0,1.0,1.0,0.0
190,0.0,1.0,1.0,0.0
250,0.0,1.0,1.0,0.0
310,0.0,1.0,1.0,0.0
370,0.0,1.0,1.0,0.0
430,0.0,1.0,1.0,0.0
490,0.0,1.0,1.0,0.0
550,0.0,1.0,1.0,0.0
610,0.0,1.0,1.0,0.0
670,0.0,1.0,1.0,0.0
730,0.0,1.0,1.0,0.0
790,0.0,1.0,1.0,0.0
850,0.0,1.0,1.0,0.0
910,0.0,1.0,1.0,0.0
970,0.0,1.0,1.0,0.0
1030,0.0,1.0,1.0,0.0
1090,0.0,1.0,1.0,0.0
1150,0.0,1.0,1.0,0.0
1210,0.0,1.0,1.0,0.0
1270,0.0,1.0,1.0,0.0
1330,0.0,1.0,1.0,0.0
1390,0.0,1.0,1.0,0.0
1450,0.0,1.0,1.0,0.0
1510,0.0,1.0,1.0,0.0
1570,0.0,1.0,1.0,0.0
1630,0.0,1.0,1.0,0.0
1690,0.0,1.0,1.0,0.0
1750,0.0,1.0,1.0,0.0
1810,0.0,1.0,1.0,0.0
1870,0.0,1.0,1.0,0.0
1930,0.0,1.0,0.0,0.0
