lines_out,no_load_shed_time,initial_load_shed,full_rest_time
1.0,60.0,0.0,7.5272308e-316
1.0,1.0,0.0,7.5272324e-316
1.0,1.0,0.0,7.527234e-316
1.0,1.0,0.0,7.52723557e-316
1.0,1.0,0.0,7.52723715e-316
1.0,1.0,0.0,7.52723873e-316
1.0,1.0,0.0,7.5272403e-316
1.0,0.0,0.0,7.52724505e-316
1.0,60.0,0.0,7.5272482e-316
1.0,1.0,0.0,7.5282901e-316
1.0,0.0,0.0,1.92008906e-315
1.0,60.0,0.0,7.54947405e-316
1.0,1.0,0.0,7.54956733e-316
1.0,1.0,0.0,7.549795e-316
1.0,0.0,0.0,7.55166217e-316
1.0,0.0,0.0,7.5518503e-316
1.0,1.0,0.0,7.5518772e-316
1.0,1.0,0.0,7.55193094e-316
1.0,1.0,0.0,7.5521333e-316
1.0,60.0,0.0,7.55220604e-316
1.0,60.0,0.0,1.920100916e-315
1.0,1.0,0.0,1.92008985e-315
1.0,60.0,0.0,1.920096015e-315
1.0,1.0,0.0,1.920096805e-315
1.0,60.0,0.0,1.923137246e-315
1.0,1.0,0.0,1.923137404e-315
1.0,60.0,0.0,1.919923843e-315
1.0,1.0,0.0,1.919924e-315
1.0,60.0,0.0,1.91992416e-315
1.0,0.0,0.0,1.919924317e-315
1.0,1.0,0.0,1.919924475e-315
1.0,60.0,0.0,1.918739983e-315
1.0,1.0,0.0,1.918740457e-315
1.0,0.0,0.0,7.52849247e-316
1.0,1.0,0.0,7.5282632e-316
1.0,0.0,0.0,7.5287565e-316
1.0,60.0,0.0,7.52900946e-316
1.0,60.0,0.0,7.53729237e-316
1.0,60.0,0.0,1.919924633e-315
1.0,0.0,0.0,1.91992479e-315
1.0,1.0,0.0,1.91992495e-315
1.0,1.0,0.0,1.91992511e-315
1.0,1.0,0.0,1.919925266e-315
1.0,1.0,0.0,1.924571854e-315
1.0,60.0,0.0,5.69456664e-316
1.0,0.0,0.0,5.6945682e-316
1.0,0.0,0.0,5.6945967e-316
1.0,15.0,15.0,5.69459826e-316
1.0,1.0,0.0,4.3230064e-316
1.0,1.0,0.0,1.0706830604e-313
