f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT
1,2,0.0035,0.0411,0.6987,600,600,600,0.0,0,1,-360,360,-599.9999999999998,0.0,599.9999999999998,0.0,0,0,0,0,0,0,0,0,0,0
1,39,0.001,0.025,0.75,1000,1000,1000,0.0,0,1,-360,360,521.9199999999995,0.0,-521.9199999999995,0.0,0,0,0,0,0,0,0,0,0,0
2,3,0.0013,0.0151,0.2572,500,500,500,0.0,0,1,-360,360,49.41527201972907,0.0,-49.41527201972907,0.0,0,0,0,0,0,0,0,0,0,0
2,25,0.007,0.0086,0.146,500,500,500,0.0,0,1,-360,360,-499.9999999999991,0.0,499.9999999999991,0.0,0,0,0,0,0,0,0,0,0,0
2,30,0.0,0.0181,0.0,900,900,2500,1.025,0,1,-360,360,-149.41527201972983,0.0,149.41527201972983,0.0,0,0,0,0,0,0,0,0,0,0
3,4,0.0013,0.0213,0.2214,500,500,500,0.0,0,1,-360,360,95.71017255338123,0.0,-95.71017255338123,0.0,0,0,0,0,0,0,0,0,0,0
3,18,0.0011,0.0133,0.2138,500,500,500,0.0,0,1,-360,360,-303.8949005336521,0.0,303.8949005336521,0.0,0,0,0,0,0,0,0,0,0,0
4,5,0.0008,0.0128,0.1342,600,600,600,0.0,0,1,-360,360,50.29999883005248,0.0,-50.29999883005248,0.0,0,0,0,0,0,0,0,0,0,0
4,14,0.0008,0.0129,0.1382,500,500,500,0.0,0,1,-360,360,-354.5898262766709,0.0,354.5898262766709,0.0,0,0,0,0,0,0,0,0,0,0
5,6,0.0002,0.0026,0.0434,1200,1200,1200,0.0,0,1,-360,360,-507.73507293852873,0.0,507.73507293852873,0.0,0,0,0,0,0,0,0,0,0,0
5,8,0.0008,0.0112,0.1476,900,900,900,0.0,0,1,-360,360,558.035071768582,0.0,-558.035071768582,0.0,0,0,0,0,0,0,0,0,0,0
6,7,0.0006,0.0092,0.113,900,900,900,0.0,0,1,-360,360,610.9049270614705,0.0,-610.9049270614705,0.0,0,0,0,0,0,0,0,0,0,0
6,11,0.0007,0.0082,0.1389,480,480,480,0.0,0,1,-360,360,-480.00000000000176,0.0,480.00000000000176,0.0,0,0,0,0,0,0,0,0,0,0
6,31,0.0,0.025,0.0,1800,1800,1800,1.07,0,1,-360,360,-638.6399999999966,0.0,638.6399999999966,0.0,0,0,0,0,0,0,0,0,0,0
7,8,0.0004,0.0046,0.078,900,900,900,0.0,0,1,-360,360,423.8649270614707,0.0,-423.8649270614707,0.0,0,0,0,0,0,0,0,0,0,0
8,9,0.0023,0.0363,0.3804,900,900,900,0.0,0,1,-360,360,459.89999883005356,0.0,-459.89999883005356,0.0,0,0,0,0,0,0,0,0,0,0
9,39,0.001,0.025,1.2,900,900,900,0.0,0,1,-360,360,453.39999883005254,0.0,-453.39999883005254,0.0,0,0,0,0,0,0,0,0,0,0
10,11,0.0004,0.0043,0.0729,600,600,600,0.0,0,1,-360,360,467.97320845310173,0.0,-467.97320845310173,0.0,0,0,0,0,0,0,0,0,0,0
10,13,0.0004,0.0043,0.0729,600,600,600,0.0,0,1,-360,360,155.6069608762839,0.0,-155.6069608762839,0.0,0,0,0,0,0,0,0,0,0,0
10,32,0.0,0.02,0.0,900,900,2500,1.07,0,1,-360,360,-623.5801693293843,0.0,623.5801693293843,0.0,0,0,0,0,0,0,0,0,0,0
12,11,0.0016,0.0435,0.0,500,500,500,1.006,0,1,-360,360,12.026791546900222,0.0,-12.026791546900222,0.0,0,0,0,0,0,0,0,0,0,0
12,13,0.0016,0.0435,0.0,500,500,500,1.006,0,1,-360,360,-18.850791546900165,0.0,18.850791546900165,0.0,0,0,0,0,0,0,0,0,0,0
13,14,0.0009,0.0101,0.1723,600,600,600,0.0,0,1,-360,360,136.7561693293841,0.0,-136.7561693293841,0.0,0,0,0,0,0,0,0,0,0,0
14,15,0.0018,0.0217,0.366,600,600,600,0.0,0,1,-360,360,-217.83365694728718,0.0,217.83365694728718,0.0,0,0,0,0,0,0,0,0,0,0
15,16,0.0009,0.0094,0.171,600,600,600,0.0,0,1,-360,360,-473.8336569472872,0.0,473.8336569472872,0.0,0,0,0,0,0,0,0,0,0,0
16,17,0.0007,0.0089,0.1342,600,600,600,0.0,0,1,-360,360,465.8863430527128,0.0,-465.8863430527128,0.0,0,0,0,0,0,0,0,0,0,0
16,19,0.0016,0.0195,0.304,600,600,2500,0.0,0,1,-360,360,-600.0000000000007,0.0,600.0000000000007,0.0,0,0,0,0,0,0,0,0,0,0
16,21,0.0008,0.0135,0.2548,600,600,600,0.0,0,1,-360,360,-445.15779487179464,0.0,445.15779487179464,0.0,0,0,0,0,0,0,0,0,0,0
16,24,0.0003,0.0059,0.068,600,600,600,0.0,0,1,-360,360,-157.7622051282049,0.0,157.7622051282049,0.0,0,0,0,0,0,0,0,0,0,0
17,18,0.0007,0.0082,0.1319,600,600,600,0.0,0,1,-360,360,430.2949005336525,0.0,-430.2949005336525,0.0,0,0,0,0,0,0,0,0,0,0
17,27,0.0013,0.0173,0.3216,600,600,600,0.0,0,1,-360,360,35.59144251906045,0.0,-35.59144251906045,0.0,0,0,0,0,0,0,0,0,0,0
19,20,0.0007,0.0138,0.0,900,900,2500,1.06,0,1,-360,360,36.00000000000011,0.0,-36.00000000000011,0.0,0,0,0,0,0,0,0,0,0,0
19,33,0.0007,0.0142,0.0,900,900,2500,1.07,0,1,-360,360,-636.0000000000008,0.0,636.0000000000008,0.0,0,0,0,0,0,0,0,0,0,0
20,34,0.0009,0.018,0.0,900,900,2500,1.009,0,1,-360,360,-508.0000000000001,0.0,508.0000000000001,0.0,0,0,0,0,0,0,0,0,0,0
21,22,0.0008,0.014,0.2565,900,900,900,0.0,0,1,-360,360,-664.3577948717948,0.0,664.3577948717948,0.0,0,0,0,0,0,0,0,0,0,0
22,23,0.0006,0.0096,0.1846,600,600,600,0.0,0,1,-360,360,22.642205128205166,0.0,-22.642205128205166,0.0,0,0,0,0,0,0,0,0,0,0
22,35,0.0,0.0143,0.0,900,900,2500,1.025,0,1,-360,360,-686.9999999999999,0.0,686.9999999999999,0.0,0,0,0,0,0,0,0,0,0,0
23,24,0.0022,0.035,0.361,600,600,600,0.0,0,1,-360,360,404.64220512820503,0.0,-404.64220512820503,0.0,0,0,0,0,0,0,0,0,0,0
