id,bus_type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,LAM_P,LAM_Q,MU_VMAX,MU_VMIN,Vsp,locX,locY
1,1,0,0,0,0,2,1.0,-19.234876309729483,345,1,1.06,0.94,0,0,0,0,0.0,0,0
2,1,0,0,0,0,2,1.0,-5.105737081803376,345,1,1.06,0.94,0,0,0,0,0.0,0,0
3,1,0,0,0,0,2,1.0,-8.069749574360953,345,1,1.06,0.94,0,0,0,0,0.0,0,0
4,1,0,0,0,0,1,1.0,-10.046094079265448,345,1,1.06,0.94,0,0,0,0,0.0,0,0
5,1,0,0,0,0,1,1.0,-9.915852434207894,345,1,1.06,0.94,0,0,0,0,0.0,0,0
6,1,0,0,0,0,1,1.0,-9.128077113126613,345,1,1.06,0.94,0,0,0,0,0.0,0,0
7,1,0,0,0,0,1,1.0,-12.229878439459638,345,1,1.06,0.94,0,0,0,0,0.0,0,0
8,1,0,0,0,0,1,1.0,-13.195384685594215,345,1,1.06,0.94,0,0,0,0,0.0,0,0
9,1,0,0,0,0,1,1.0,-21.129775929640886,345,1,1.06,0.94,0,0,0,0,0.0,0,0
10,1,0,0,0,0,1,1.0,-5.7075641274247095,345,1,1.06,0.94,0,0,0,0,0.0,0,0
11,1,0,0,0,0,1,1.0,-6.8729152314916835,345,1,1.06,0.94,0,0,0,0,0.0,0,0
12,1,0,0,0,0,1,1.0,-6.698573452163173,345,1,1.06,0.94,0,0,0,0,0.0,0,0
13,1,0,0,0,0,1,1.0,-6.322262760896009,345,1,1.06,0.94,0,0,0,0,0.0,0,0
14,1,0,0,0,0,1,1.0,-7.6787164967627985,345,1,1.06,0.94,0,0,0,0,0.0,0,0
15,1,0,0,0,0,3,1.0,-6.610744661043131,345,1,1.06,0.94,0,0,0,0,0.0,0,0
16,1,0,0,0,0,3,1.0,-4.42466386878432,345,1,1.06,0.94,0,0,0,0,0.0,0,0
17,1,0,0,0,0,2,1.0,-5.821665143827887,345,1,1.06,0.94,0,0,0,0,0.0,0,0
18,1,0,0,0,0,2,1.0,-7.115318984694397,345,1,1.06,0.94,0,0,0,0,0.0,0,0
19,1,0,0,0,0,3,1.0,1.3180921118119213,345,1,1.06,0.94,0,0,0,0,0.0,0,0
20,1,0,0,0,0,3,1.0,0.22695128676478152,345,1,1.06,0.94,0,0,0,0,0.0,0,0
21,1,0,0,0,0,3,1.0,-1.4219406974686275,345,1,1.06,0.94,0,0,0,0,0.0,0,0
22,1,0,0,0,0,3,1.0,3.7799672401707998,345,1,1.06,0.94,0,0,0,0,0.0,0,0
23,1,0,0,0,0,3,1.0,3.568218575533889,345,1,1.06,0.94,0,0,0,0,0.0,0,0
24,1,0,0,0,0,3,1.0,-4.119740450139174,345,1,1.06,0.94,0,0,0,0,0.0,0,0
25,1,0,0,0,0,2,1.0,-3.411510192167152,345,1,1.06,0.94,0,0,0,0,0.0,0,0
26,1,0,0,0,0,2,1.0,-3.547804917789454,345,1,1.06,0.94,0,0,0,0,0.0,0,0
27,1,0,0,0,0,2,1.0,-5.807890397314645,345,1,1.06,0.94,0,0,0,0,0.0,0,0
28,1,0,0,0,0,3,1.0,1.2414604580407174,345,1,1.06,0.94,0,0,0,0,0.0,0,0
29,1,0,0,0,0,3,1.0,4.4602850938970215,345,1,1.06,0.94,0,0,0,0,0.0,0,0
30,2,0,0,0,0,2,1.0,1.1037171267213093,345,1,1.06,0.94,0,0,0,0,1.0499,0,0
31,3,0,0,0,0,1,1.0,0.0,345,1,1.06,0.94,0,0,0,0,0.982,0,0
32,2,0,0,0,0,1,1.0,2.571736977404464,345,1,1.06,0.94,0,0,0,0,0.9841,0,0
33,2,0,0,0,0,3,1.0,6.6227645622511355,345,1,1.06,0.94,0,0,0,0,0.9972,0,0
34,2,0,0,0,0,3,1.0,5.46607736544103,345,1,1.06,0.94,0,0,0,0,1.0123,0,0
35,2,0,0,0,0,3,1.0,9.408761915315521,345,1,1.06,0.94,0,0,0,0,1.0494,0,0
36,2,0,0,0,0,3,1.0,12.607200751517757,345,1,1.06,0.94,0,0,0,0,1.0636,0,0
37,2,0,0,0,0,2,1.0,4.085527965560651,345,1,1.06,0.94,0,0,0,0,1.0275,0,0
38,2,0,0,0,0,3,1.0,12.191777581392353,345,1,1.06,0.94,0,0,0,0,1.0265,0,0
39,2,0,0,0,0,1,1.0,-26.501127067578587,345,1,1.06,0.94,0,0,0,0,1.03,0,0
