bus,Pg,Qg,Qmax,Qmin,Vsp,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,rampAGC,ramp10,ramp30,rampQ,npf,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
30,900.0000000000003,161.762,400,140,1.0499,100,1,1040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-966.9579858112004,221.574,300,-100,0.982,100,1,646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,602.1408463284776,206.965,300,150,0.9841,100,1,725.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.0,108.293,250,0,0.9972,100,1,652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,79.99999999999939,166.688,167,0,1.0123,100,1,508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.0,210.661,300,-100,1.0494,100,1,687.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.0,100.165,240,0,1.0636,100,1,580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,899.9999999999998,-1.36945,250,0,1.0275,100,1,564.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,105.1268027901403,21.7327,300,-150,1.0265,100,1,865.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.0,78.4674,300,-100,1.03,100,1,1100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1984.9544365452232,100.165,240,0,1.0636,100,1,144.02026143666285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1184.751782945736,100.165,240,0,1.0636,100,1,68.61616879286501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,497.25613139042605,221.574,300,-100,0.982,100,1,45.904838301534724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0,78.4674,300,-100,1.03,100,1,54.17023146893746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
