bus,bus_type,status,P,Q,fracS,fracY,fracE,gamma,Qmin,Qmax,Qinc,Qcon
1,1,1,-215.11150000000006,44.2,1,0,0,0,0,0,0,0
3,1,1,9.288499999999985,2.4,1,0,0,0,0,0,0,0
4,1,1,187.2885,184.0,1,0,0,0,0,0,0,0
7,1,1,-78.91150000000005,84.0,1,0,0,0,0,0,0,0
8,1,1,209.2885,176.6,1,0,0,0,0,0,0,0
9,1,1,-306.21150000000006,-66.6,1,0,0,0,0,0,0,0
12,1,1,-304.1815,88.0,1,0,0,0,0,0,0,0
15,1,1,7.288499999999985,153.0,1,0,0,0,0,0,0,0
16,1,1,16.288499999999985,32.3,1,0,0,0,0,0,0,0
18,1,1,-154.71150000000006,30.0,1,0,0,0,0,0,0,0
20,1,1,367.28849999999994,103.0,1,0,0,0,0,0,0,0
21,1,1,-38.71150000000007,115.0,1,0,0,0,0,0,0,0
23,1,1,-65.21150000000006,84.6,1,0,0,0,0,0,0,0
24,1,1,-4.111500000000007,-92.2,1,0,0,0,0,0,0,0
25,1,1,-88.71150000000006,47.2,1,0,0,0,0,0,0,0
26,1,1,-173.71150000000006,17.0,1,0,0,0,0,0,0,0
27,1,1,-31.711500000000072,75.5,1,0,0,0,0,0,0,0
28,1,1,-106.71150000000006,27.6,1,0,0,0,0,0,0,0
29,1,1,-29.211500000000044,26.9,1,0,0,0,0,0,0,0
31,1,1,-303.5115,4.6,1,0,0,0,0,0,0,0
39,1,1,791.2884999999999,250.0,1,0,0,0,0,0,0,0
