bus,Pg,Qg,Qmax,Qmin,Vsp,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,rampAGC,ramp10,ramp30,rampQ,npf,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
30,747.1989100165135,161.762,400,140,1.0499,100,1,1040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,126.48810848697167,221.574,300,-100,0.982,100,1,646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-5.684341886080801e-13,206.965,300,150,0.9841,100,1,725.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,604.6969814965171,108.293,250,0,0.9972,100,1,652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,508.0,166.688,167,0,1.0123,100,1,508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,686.9999999999999,210.661,300,-100,1.0494,100,1,687.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,580.0,100.165,240,0,1.0636,100,1,580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.0,-1.36945,250,0,1.0275,100,1,564.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,864.9999999999999,21.7327,300,-150,1.0265,100,1,865.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1100.0,78.4674,300,-100,1.03,100,1,1100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19.52,0.0,250,0,1.0275,100,1,19.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,64.4,0.0,250,0,1.0275,100,1,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,100.0,0.0,167,0,1.0123,100,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,46.760000000000005,0.0,300,-100,1.0494,100,1,46.760000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3.552713678800501e-13,0.0,300,-100,1.0494,100,1,104.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.3,0.0,300,-100,0.982,100,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.706,0.0,400,140,1.0499,100,1,1.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,64.0,0.0,300,-150,1.0265,100,1,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-1.4210854715202004e-13,0.0,167,0,1.0123,100,1,65.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,31.6,0.0,300,150,0.9841,100,1,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,136.0,0.0,300,-150,1.0265,100,1,136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,54.800000000000004,0.0,300,150,0.9841,100,1,54.800000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,49.5,0.0,167,0,1.0123,100,1,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,61.720000000000006,0.0,300,150,0.9841,100,1,61.720000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-3.552713678800501e-14,0.0,300,-100,1.0494,100,1,44.800000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27.8,0.0,167,0,1.0123,100,1,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,56.2,0.0,300,150,0.9841,100,1,56.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,41.2,0.0,300,150,0.9841,100,1,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,56.7,0.0,167,0,1.0123,100,1,56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,220.8,0.0,167,0,1.0123,100,1,220.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
