f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,bus_type,tap_min,tap_max,Pf_des,ImF,ImT
1,2,0.1,0.2,0.04,78,40,40,0,0,1,-360,360,25.367816445004138,0.0,-25.367816445004138,0.0,0,0,0,0,0,0,0,0,0,0
1,4,0.05,0.2,0.04,92,60,60,0,0,1,-360,360,41.57876954264827,0.0,-41.57876954264827,0.0,0,0,0,0,0,0,0,0,0,0
1,5,0.08,0.3,0.06,72,40,40,0,0,1,-360,360,33.053414012347574,0.0,-33.053414012347574,0.0,0,0,0,0,0,0,0,0,0,0
2,3,0.05,0.25,0.06,40,40,40,0,0,1,-360,360,1.8932948367478553,0.0,-1.8932948367478553,0.0,0,0,0,0,0,0,0,0,0,0
2,4,0.05,0.1,0.02,96,60,60,0,0,1,-360,360,32.42190619528826,0.0,-32.42190619528826,0.0,0,0,0,0,0,0,0,0,0,0
2,5,0.1,0.3,0.04,30,30,30,0,0,1,-360,360,16.14153638234481,0.0,-16.14153638234481,0.0,0,0,0,0,0,0,0,0,0,0
2,6,0.07,0.2,0.05,90,90,90,0,0,1,-360,360,24.911079030623206,0.0,-24.911079030623206,0.0,0,0,0,0,0,0,0,0,0,0
3,5,0.12,0.26,0.05,70,70,70,0,0,1,-360,360,16.804373867371073,0.0,-16.804373867371073,0.0,0,0,0,0,0,0,0,0,0,0
3,6,0.02,0.1,0.02,80,80,80,0,0,1,-360,360,45.08892096937678,0.0,-45.08892096937678,0.0,0,0,0,0,0,0,0,0,0,0
4,5,0.2,0.4,0.08,20,20,20,0,0,1,-360,360,4.000675737936544,0.0,-4.000675737936544,0.0,0,0,0,0,0,0,0,0,0,0
5,6,0.1,0.3,0.06,40,40,40,0,0,0,-360,360,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
